RNA site location (hg38)	H276_OLIG	H286_OLIG	H344_OLIG	H372_OLIG	H395_OLIG	H406_OLIG	H412_OLIG	H427_OLIG	H444_OLIG
chr11_68087373	0.35	0.29	0.31	0.24	0.25	0.15	0.38	0.24	0.29
chr11_68087400	0.09	0.14	0.2	0.21	0.34	0.33	0.18	0.19	0.23
chr11_68087406	0.135	0.07	0.09	0.21	0.26	0.15	0.19	0.12	0.07
chr11_68087419	0.305	0.098	0.312	0.094	0.125	0.125	0.271	0.098	0.103
chr11_68087420	0.16	0.08	0.17	0.24	0.16	0.17	0.08	0.07	0.16
chr11_68087422	0.69	0.62	0.71	0.76	0.91	0.76	0.74	0.61	0.63
chr11_68087463	0.58	0.55	0.67	0.67	0.76	0.625	0.68	0.56	0.53
chr11_68087468	0.65	0.53	0.66	0.68	0.75	0.65	0.65	0.57	0.44
chr11_68087883	0.045	0.058	0.156	0.196	0.074	0.074	0.102	0.038	0.074
chr11_68087910	0.21	0.28	0.25	0.21	0.18	0.47	0.37	0.22	0.15
chr11_68087930	0.08	0.24	0.1	0.15	0.1	0.26	0.33	0.14	0.145
chr11_68088001	0.172	0.058	0.172	0.19	0.2	0.28	0.091	0.092	0.172
chr11_68088031	0.13	0.1	0.42	0.17	0.33	0.17	0.33	0.09	0.17
chr11_68088050	0.31	0.25	0.26	0.3	0.53	0.25	0.22	0.31	0.24
chr11_68088797	0.037	0.047	0.113	0.072	0.048	0.094	0.062	0.057	0.033
chr11_68088811	0	0	0	0	0	0	0.017	0	0
chr11_68088819	0.05	0.065	0.061	0.097	0.087	0.198	0.095	0.107	0.034
chr11_68088820	0.1	0.1	0.17	0.07	0.1	0.21	0.1	0.06	0.13
chr11_68088826	0.45	0.64	0.6	0.62	0.58	0.81	0.65	0.56	0.5
chr11_68088836	0.14	0.18	0.11	0.15	0.13	0.21	0.13	0.14	0.13
chr11_68088838	0	0	0	0	0	0	0	0	0.02
chr11_68093100	0.44	0.72	0.62	0.58	0.76	0.8	0.62	0.62	0.42
chr11_68093105	0.58	0.73	0.86	0.92	0.87	0.91	0.72	0.67	0.7
chr11_68093106	0.74	0.81	0.83	1	0.96	0.92	0.74	0.8	0.58
chr11_68093115	0.68	0.64	0.5	0.64	0.79	0.55	0.65	0.5	0.56
chr11_68093118	0.636	0.6035	1	0.7	0.375	0.333	0.667	0.269	0.571
chr11_68093137	0.13	0.08	0.13	0.15	0.11	0.14	0.16	0.13	0.06
chr11_68093140	0.4	0.39	0.44	0.41	0.36	0.5	0.28	0.35	0.41
chr11_68093156	0.08	0.25	0.28	0.26	0.17	0.245	0.28	0.2	0.24
chr11_68093188	0.1	0.095	0.1385	0.156	0.279	0.25	0.15	0.062	0.127
chr11_68093203	0.16	0.31	0.14	0.14	0.09	0.28	0.35	0.24	0.2
chr11_68093216	0.82	0.94	0.89	0.91	0.89	0.97	1	0.77	0.88
chr11_68093217	0.51	0.85	0.82	0.83	0.83	0.71	0.78	0.61	0.78
chr11_68093246	0.22	0.39	0.48	0.32	0.4	0.42	0.48	0.34	0.52
chr11_68093250	0.107	0.111	0.15	0.081	0.122	0.107	0.097	0.098	0.107
chr11_68093266	0.36	0.27	0.67	0.5	0.44	0.21	0.48	0.31	0.62
chr11_68093272	0.21	0.18	0.25	0.18	0.2	0.18	0.12	0.13	0.08
chr11_68093273	0.15	0.21	0.33	0.29	0.33	0.31	0.48	0.15	0.23
chr11_68093824	0.22	0.23	0.38	0.38	0.35	0.29	0.47	0.18	0.59
chr11_68094275	1	0.4	1	1	1	0.5	1	1	1
chr11_68094291	0.21	0.25	0.15	0.33	0.24	0.68	0.51	0.11	0.48
chr11_68094297	0.1075	0.087	0.094	0.121	0.2	0.136	0.083	0.088	0.167
chr11_68094429	0.12	0.53	0.2	0.25	0.52	0.285	0.61	0.26	0.31
chr11_68094459	0.19	0.65	0.13	0.28	0.67	0.395	0.82	0.41	0.38
chr11_68094535	0.34	0.26	0.35	0.29	0.36	0.5	0.39	0.18	0.45
chr11_68095148	0.07	0.11	0.11	0.08	0.09	0.15	0.07	0.09	0.09
chr11_68095157	0.17	0.28	0.33	0.25	0.24	0.19	0.33	0.24	0.245
chr11_68095160	0.033	0.035	0.064	0.125	0.126	0.043	0.038	0.043	0.119
chr11_68095215	0.75	0.79	0.88	0.64	0.89	0.71	0.8	0.78	0.88
chr11_68095230	0.18	0.18	0.18	0.2	0.25	0.07	0.16	0.17	0.34
chr11_68095240	0.129	0.098	0.368	0.075	0.103	0.086	0.074	0.092	0.075
chr11_68095279	0.46	0.32	0.6	0.49	0.34	0.4	0.36	0.27	0.68
chr11_68095291	0.1	0.13	0.5	0.28	0.19	0.29	0.235	0.12	0.51
chr11_68095294	0.55	0.43	0.66	0.54	0.49	0.68	0.6	0.43	0.82
chr11_68095351	0.52	0.28	0.67	0.73	0.42	0.5	0.29	0.39	0.69
chr11_68095928	0.1	0.15	0.14	0.115	0.12	0.16	0.08	0.08	0.11
chr11_68096252	0.06	0.18	0.22	0.19	0.19	0.25	0.19	0.1	0.32
chr11_68096278	0.44	0.36	0.4	0.48	0.45	0.47	0.48	0.44	0.5
chr11_68096279	0.21	0.21	0.15	0.25	0.22	0.16	0.28	0.36	0.41
chr11_68096309	0.25	0.36	0.32	0.27	0.29	0.32	0.23	0.25	0.29
chr11_68096322	0.09	0.27	0.22	0.27	0.35	0.37	0.17	0.16	0.245
chr11_68162572	1	1	1	1	0.96	1	1	1	1
chr11_68181077	0.78	0.25	0.88	0.85	0.81	0.78	0.64	0.78	0.44
chr11_68190051	1	1	1	1	1	1	1	1	1
chr11_68191063	0.92	0.43	0.71	0.62	0.62	0.8	0.58	0.5	0.82
chr11_68191609	0.235	0.316	0.412	0.286	0.273	0.254	0.222	0.158	0.2
chr11_68477543	0.53	0.53	0.86	0.55	0.45	0.67	0.36	0.31	0.53
chr11_68477619	0.55	0.35	1	0.31	0.63	0.51	0.21	0.47	0.58
chr11_68524208	1	1	1	1	1	1	1	1	1
chr11_68546477	1	1	1	1	1	1	1	1	1
chr11_68548330	1	1	1	1	1	1	1	1	1
chr11_68551231	0.065	0.065	0.06	0.07	0.065	0.065	0.065	0.06	0.1
chr11_68559995	1	1	1	1	1	1	1	1	1
chr11_68562053	0.25	0.31	0.36	0.18	0.26	0.33	0.28	0.2	0.38
chr11_68579015	1	1	1	1	1	1	1	1	1
chr11_68593790	0.235	0.32	0.32	0.211	0.522	0.231	0.475	0.32	0.643
chr11_68593828	0.42	0.51	0.35	0.23	0.64	0.5	0.73	0.21	0.62
chr11_68593860	0.26	0.09	0.17	0.19	0.26	0.12	0.18	0.18	0.18
chr11_68593861	0.32	0.2	0.17	0.08	0.38	0.18	0.36	0.26	0.33
chr11_68593863	0.52	0.42	0.21	0.21	0.65	0.4	0.47	0.2	0.52
chr11_68593866	0.13	0.129	0.179	0.179	0.488	0.143	0.404	0.179	0.276
chr11_68593867	0.13	0.094	0.154	0.107	0.189	0.167	0.163	0.154	0.154
chr11_68593868	0.31	0.36	0.18	0.295	0.28	0.33	0.31	0.14	0.26
chr11_68593869	0.167	0.133	0.163	0.143	0.067	0.163	0.25	0.163	0.233
chr11_68593872	0.18	0.1	0.16	0.28	0.41	0.28	0.44	0.28	0.35
chr11_68593927	0.12	0.07	0.13	0.35	0.52	0.25	0.24	0.245	0.32
chr11_68613917	0.22	0.325	0.34	0.39	0.31	0.31	0.67	0.43	0.17
chr11_68613924	0.23	0.245	0.25	0.24	0.17	0.22	0.47	0.28	0.25
chr11_68613930	0.29	0.25	0.27	0.23	0.24	0.31	0.53	0.37	0.24
chr11_68613934	0.23	0.27	0.23	0.26	0.23	0.27	0.53	0.33	0.21
chr11_68613942	0.355	0.39	0.38	0.29	0.29	0.33	0.58	0.42	0.25
chr11_69082246	1	1	1	1	1	0.99	1	1	1
chr11_69659511	0.312	0.278	0.4	0.667	0.4	0.818	0.44	0.333	0.4
chr11_69661733	0.23	0.15	0.23	0.23	0.32	0.23	0.32	0.18	0.17
chr11_69661760	0.419	0.353	0.343	0.333	0.438	0.231	0.364	0.188	0.176
chr11_69661769	0.54	0.7	0.4	0.75	0.65	0.36	0.32	0.5	0.46
chr11_69661781	0.52	0.52	0.5	0.64	0.68	0.52	0.24	0.52	0.56
chr11_70435251	0.18	0.16	0.18	0.15	0.17	0.175	0.31	0.23	0.17
chr11_70435253	0.2	0.21	0.21	0.205	0.15	0.18	0.34	0.2	0.24
chr11_70435279	0.08	0.07	0.1	0.14	0.07	0.13	0.1	0.11	0.1
chr11_71473632	1	1	1	1	1	1	1	1	1
chr11_71868090	1	1	1	1	1	1	1	1	1
chr11_71896649	0.66	0.46	0.46	0.55	0.44	0.45	0.57	0.3	0.42
chr11_71896656	0.31	0.31	0.41	0.48	0.5	0.3	0.41	0.26	0.29
chr11_71901364	0.67	0.3	0.79	0.56	0.56	0.56	0.55	0.44	0.92
chr11_71902258	0.435	0.737	0.364	0.727	0.4675	0.273	0.5	0.13	0.545
chr11_71961359	0.545	0.455	0.467	0.615	0.636	0.4	0.467	0.3	0.467
chr11_71961382	0.55	0.5	0.83	0.67	0.71	0.5	0.71	0.43	0.33
chr11_71961401	0.25	0.231	0.308	0.8	0.231	0.5	0.333	0.308	0.308
chr11_71961549	0.214	0.214	0.235	0.147	0.115	0.25	0.147	0.214	0.263
chr11_71985497	1	1	1	1	1	1	1	1	1
chr11_72003032	1	1	1	1	1	1	1	1	1
chr11_72016988	0.74	0.15	0.56	0.45	0.34	0.52	0.45	0.82	0.3
chr11_72016989	0.37	0.38	0.47	0.43	0.35	0.46	0.35	0.42	0.15
chr11_72386435	1	1	1	1	1	1	1	1	1
chr11_72704453	0.12	0.14	0.2	0.2	0.39	0.11	0.22	0.2	0.29
chr11_72715983	0.93	0.69	0.88	0.87	0.88	0.82	0.83	0.73	0.85
chr11_72818748	1	1	1	1	1	1	1	1	1
chr11_72827096	1	1	1	1	1	1	1	1	1
chr11_72830857	0.27	0.45	0.27	0.22	0.12	0.41	0.17	0.11	0.12
chr11_72830881	0.37	0.38	0.11	0.6	0.31	0.33	0.38	0.53	0.36
chr11_72837551	1	1	1	1	1	1	1	1	1
chr11_72844500	1	1	1	1	1	1	1	1	1
chr11_72859446	1	1	1	1	1	1	1	1	1
chr11_72866038	0.94	1	1	1	1	1	1	1	1
chr11_72875609	0.455	0.364	0.538	0.438	0.364	0.167	0.364	0.2	0.273
chr11_72886273	1	1	1	1	1	1	1	1	1
chr11_72901951	0.81	0.87	0.31	0.79	0.83	0.5	0.92	0.56	0.92
chr11_72905736	1	1	1	1	1	1	1	1	1
chr11_72912145	1	0.96	0.98	1	0.88	0.88	0.95	1	1
chr11_72917492	0.143	0.333	0.333	0.125	0.188	0.129	0.188	0.188	0.214
chr11_72917641	0.19	0.305	0.36	0.43	0.18	0.32	0.51	0.2	0.29
chr11_72931904	1	1	0.96	1	1	0.95	0.92	1	0.94
chr11_72932315	1	1	1	1	1	1	1	1	1
chr11_72936960	1	1	1	1	1	1	1	0.95	1
chr11_72936999	1	1	1	1	1	1	1	1	1
chr11_72943094	1	1	1	1	1	1	1	1	1
chr11_72957685	1	1	1	1	1	1	1	1	1
chr11_72961515	0.27	0.27	0.36	0.36	0.23	0.21	0.32	0.16	0.48
chr11_72964505	1	0.98	1	1	1	1	1	1	1
chr11_72964552	1	1	1	1	1	1	1	1	1
chr11_72965562	0.94	1	0.99	1	1	1	1	1	1
chr11_72980677	0.09	0.38	0.56	0.96	0.83	0.96	0.23	0.25	0.73
chr11_73041046	0.22	0.26	0.18	0.26	0.23	0.11	0.4	0.225	0.22
chr11_73041058	0.125	0.147	0.1	0.1	0.109	0.117	0.203	0.05	0.204
chr11_73041107	0.23	0.31	0.15	0.06	0.2	0.27	0.3	0.215	0.17
chr11_73078811	0.18	0.21	0.17	0.18	0.18	0.11	0.25	0.18	0.11
chr11_73078833	0.33	0.63	0.44	0.71	0.44	0.45	0.53	0.21	0.36
chr11_73078846	0.1	0.38	0.32	0.21	0.265	0.32	0.15	0.09	0.36
chr11_73078849	0.29	0.6	0.54	0.7	0.45	0.68	0.4	0.26	0.54
chr11_73078878	0.103	0.286	0.2	0.25	0.25	0.25	0.276	0.103	0.333
chr11_73078882	0.17	0.39	0.26	0.32	0.33	0.26	0.27	0.16	0.29
chr11_73078919	0.26	0.32	0.17	0.42	0.32	0.32	0.45	0.24	0.59
chr11_73079005	0.77	0.94	0.69	1	0.85	0.79	0.88	0.52	1
chr11_73087951	0.15	0.13	0.07	0.19	0.23	0.25	0.2	0.17	0.1
chr11_73087952	0.33	0.32	0.33	0.5	0.71	0.41	0.38	0.29	0.44
chr11_73087982	0.111	0.088	0.091	0.111	0.138	0.093	0.2	0.111	0.159
chr11_73088003	0.12	0.22	0.24	0.2	0.38	0.27	0.27	0.1	0.27
chr11_73088018	0.1	0.11	0.09	0.1	0.11	0.09	0.14	0.1	0.07
chr11_73088028	0.12	0.11	0.12	0.07	0.12	0.15	0.19	0.12	0.12
chr11_73088044	0.35	0.22	0.36	0.32	0.34	0.25	0.34	0.07	0.33
chr11_73088116	0.5	0.29	0.14	0.47	0.38	0.31	0.33	0.2	0.17
chr11_73119543	0.42	0.71	0.53	0.35	0.36	0.47	0.67	0.4	0.6
chr11_73119585	0.455	0.74	0.48	0.6	0.35	0.39	0.69	0.19	0.43
chr11_73119637	0.86	0.65	0.85	1	0.77	0.7	0.69	1	0.88
chr11_73134880	0.63	0.17	0.42	0.6	0.65	0.68	0.615	0.44	0.82
chr11_7330106	0.73	0.69	0.5	0.42	0.67	0.69	0.8	0.69	0.92
chr11_7333728	1	1	1	1	1	1	1	1	1
chr11_7333889	1	0.98	1	1	0.98	1	1	1	1
chr11_7334065	1	1	1	1	1	1	1	1	1
chr11_7341833	0.74	0.8	0.83	0.71	0.78	0.82	0.74	0.92	0.77
chr11_7341834	0.37	0.48	0.27	0.31	0.61	0.82	0.33	0.5	0.12
chr11_7341835	0.1	0.13	0.21	0.23	0.27	0.67	0.19	0.6	0.19
chr11_7342011	0.3	0.36	0.43	0.35	0.28	0.53	0.355	0.6	0.3
chr11_7342015	0.53	0.58	0.43	0.56	0.44	0.36	0.7	0.8	0.38
chr11_7342102	0.31	0.47	0.46	0.4	0.47	0.52	0.55	0.8	0.33
chr11_7342458	0.92	0.81	0.94	0.96	1	0.78	1	0.93	1
chr11_7344038	0.38	0.29	0.45	0.62	0.47	0.53	0.25	0.45	0.45
chr11_7345922	1	1	0.98	0.99	1	1	1	1	1
chr11_7349536	1	1	1	1	1	1	1	1	1
chr11_73540948	0.51	0.38	0.69	0.53	0.13	0.87	0.47	0.38	0.29
chr11_73540954	0.94	0.81	0.83	1	0.92	1	0.92	0.97	1
chr11_73540960	0.364	0.107	0.273	0.318	0.273	0.667	0.273	0.133	0.167
chr11_73591570	0.125	0.2	0.231	0.136	0.061	0.25	0.136	0.136	0.094
chr11_73591588	0.29	0.21	0.41	0.15	0.41	0.81	0.18	0.22	0.24
chr11_73654029	0.15	0.11	0.1	0.16	0.15	0.13	0.07	0.15	0.14
chr11_73656895	0.11	0.16	0.15	0.11	0.17	0.19	0.14	0.18	0.18
chr11_73658717	0.53	0.47	0.95	0.67	0.59	0.67	0.71	0.67	0.69
chr11_73658746	0.25	0.59	0.29	0.5	0.32	0.29	0.22	0.29	0.29
chr11_73658852	0.46	0.62	0.35	0.57	0.53	0.71	0.46	0.73	0.55
chr11_73658855	0.261	0.235	0.3	0.2	0.375	0.261	0.217	0.261	0.278
chr11_73659004	0.33	0.35	0.55	0.37	0.43	0.44	0.27	0.35	0.24
chr11_73659023	0.15	0.27	0.3	0.2	0.24	0.09	0.36	0.24	0.24
chr11_73659048	0.31	0.24	0.19	0.07	0.12	0.12	0.21	0.32	0.39
chr11_73659063	0.17	0.1	0.23	0.14	0.15	0.14	0.17	0.17	0.26
chr11_73659075	0.11	0.21	0.18	0.3	0.07	0.19	0.11	0.24	0.08
chr11_73659076	0.125	0.077	0.105	0.073	0.083	0.3	0.129	0.185	0.115
chr11_73659083	0.57	0.56	0.72	0.49	0.61	0.55	0.6	0.86	0.56
chr11_73659132	0.15	0.09	0.26	0.15	0.16	0.2	0.16	0.16	0.18
chr11_73659146	0.55	0.45	0.62	0.72	0.49	0.64	0.75	0.4	0.64
chr11_73659147	0.8	0.77	0.79	0.81	0.84	0.75	0.77	0.64	0.74
chr11_73659212	0.08	0.14	0.37	0.22	0.19	0.15	0.19	0.13	0.1
chr11_73659216	0.6	0.52	0.61	0.58	0.59	0.44	0.52	0.65	0.57
chr11_73659226	0.18	0.1	0.09	0.11	0.11	0.06	0.18	0.11	0.16
chr11_73662335	1	1	1	1	1	1	1	1	1
chr11_73690454	0.095	0.051	0	0.1	0.036	0	0.069	0.056	0.083
chr11_73690469	0.05	0	0	0	0	0.095	0	0	0
chr11_73690482	0.11	0.2	0.23	0.2	0.26	0.19	0.26	0.11	0.11
chr11_73690497	0.06	0.15	0.45	0.31	0.41	0.38	0.2	0.13	0.17
chr11_73690510	0.57	0.44	0.39	0.39	0.52	0.39	0.21	0.33	0.22
chr11_73690524	0.51	0.56	0.29	0.56	0.52	0.5	0.33	0.37	0.52
chr11_73691433	0.73	0.86	0.89	0.88	0.64	0.27	0.71	0.33	1
chr11_73696744	0.11	0.1	0.11	0.11	0.15	0.11	0.22	0.16	0.08
chr11_73697393	0.1	0.1	0.13	0.15	0.13	0.23	0.15	0.14	0.15
chr11_73697398	0.051	0.083	0.083	0.079	0.048	0.083	0.118	0.089	0.105
chr11_73697469	0.12	0.075	0.207	0.211	0.061	0.207	0.216	0.207	0.423
chr11_73697472	0.28	0.23	0.26	0.53	0.26	0.26	0.21	0.14	0.44
chr11_73697485	0.318	0.5	0.353	0.353	0.351	0.273	0.375	0.353	0.462
chr11_73701714	0.43	0.08	0.3	0.24	0.21	0.47	0.27	0.38	0.19
chr11_73701726	0.33	0.46	0.25	0.28	0.29	0.5	0.29	0.33	0.42
chr11_73701730	0.09	0.06	0.19	0.09	0.09	0.09	0.12	0.09	0.07
chr11_73709464	1	1	1	1	1	1	1	1	1
chr11_73709832	0.48	0.63	0.57	0.38	0.55	0.44	0.49	0.56	0.53
chr11_73709834	0.41	0.42	0.43	0.28	0.52	0.35	0.37	0.37	0.29
chr11_73709840	0.41	0.43	0.38	0.33	0.52	0.26	0.36	0.39	0.36
chr11_73709844	0.43	0.41	0.38	0.3	0.48	0.28	0.34	0.33	0.29
chr11_73709852	0.48	0.58	0.54	0.39	0.53	0.39	0.43	0.56	0.57
chr11_73709854	0.39	0.43	0.33	0.31	0.5	0.29	0.32	0.37	0.24
chr11_73709860	0.52	0.6	0.42	0.38	0.47	0.38	0.39	0.56	0.47
chr11_73722089	1	1	1	1	0.981	1	1	1	0.984
chr11_7378116	0.46	0.53	0.42	0.23	0.12	0.27	0.23	0.36	0.15
chr11_7378118	0.69	0.63	0.43	0.4	0.17	0.45	0.35	0.61	0.33
chr11_73840709	0.44	0.28	0.9	0.54	0.52	0.8	0.59	0.36	0.5
chr11_73840734	0.41	0.25	0.57	0.23	0.42	0.42	0.13	0.53	0.27
chr11_73873676	0.56	0.61	0.78	0.53	0.57	0.48	0.35	0.44	0.15
chr11_73873681	0.28	0.19	0.67	0.33	0.62	0.27	0.28	0.35	0.45
chr11_73873765	0.2	0.172	0.368	0.227	0.438	0.182	0.2	0.2	0.176
chr11_73873770	0.65	0.7	0.82	0.79	0.81	0.6	1	0.76	0.9
chr11_73874064	0.44	0.73	0.75	0.58	0.5	0.86	0.82	0.74	1
chr11_73874080	0.7	0.538	0.538	0.429	0.421	0.7	0.333	0.538	0.923
chr11_73879736	0.41	0.37	0.45	0.6	0.61	0.83	0.5	0.5	0.83
chr11_73879752	0.53	0.47	0.43	0.33	0.53	0.5	0.37	0.64	0.65
chr11_73879779	0.26	0.41	0.23	0.35	0.7	0.5	0.29	0.33	0.34
chr11_73879793	0.25	0.382	0.2	0.258	0.348	0.6	0.31	0.329	0.368
chr11_73879962	0.17	0.1	0.06	0.07	0.16	0.23	0.1	0.12	0.11
chr11_73879978	0.12	0.14	0.12	0.12	0.08	0.29	0.11	0.08	0.22
chr11_73880042	0.68	0.6	0.56	0.66	0.81	0.62	0.58	0.58	0.64
chr11_73880074	0.065	0.069	0.103	0.069	0.105	0.196	0.061	0.069	0.062
chr11_73880082	0.127	0.1	0.1	0.189	0.05	0.128	0.1	0.066	0.1
chr11_73880100	0.49	0.54	0.64	0.53	0.7	0.5	0.47	0.46	0.72
chr11_73880106	0.045	0.107	0.102	0.102	0.043	0.109	0.062	0.102	0.109
chr11_73880114	0.044	0.12	0.102	0.095	0.081	0.083	0.071	0.094	0.0885
chr11_73880115	0.374	0.48	0.4	0.444	0.362	0.412	0.375	0.349	0.415
chr11_73880140	0.12	0.12	0.13	0.08	0.12	0.07	0.16	0.13	0.12
chr11_73880141	0.14	0.09	0.1	0.07	0.15	0.12	0.12	0.12	0.12
chr11_73880146	0.09	0.06	0.08	0.07	0.12	0.08	0.08	0.08	0.08
chr11_73880176	0.15	0.08	0.23	0.2	0.22	0.14	0.18	0.16	0.29
chr11_73880203	0	0.024	0.022	0	0	0.026	0	0	0.013
chr11_73880566	0.4	0.68	0.62	0.38	0.71	0.6	0.58	0.8	0.58
chr11_73883091	0.355	0.355	0.364	0.429	0.5	0.167	0.312	0.25	0.355
chr11_73883610	0.41	0.16	0.41	0.57	0.62	0.5	0.41	0.33	0.27
chr11_73883616	0.23	0.25	0.3	0.48	0.5	0.47	0.27	0.54	0.49
chr11_73883617	0.84	0.72	0.78	0.79	0.79	0.76	0.62	0.75	0.88
chr11_73883674	0.32	0.19	0.5	0.2	0.33	0.14	0.27	0.285	0.3
chr11_73883697	0.45	0.267	0.45	0.455	0.429	0.6	0.45	0.818	0.25
chr11_73883768	0.6	0.4	0.525	0.67	0.51	0.5	0.82	0.47	0.54
chr11_73884244	0.075	0.066	0.081	0.07	0.093	0.207	0.244	0.078	0.068
chr11_73884245	0.11	0.12	0.06	0.17	0.12	0.08	0.12	0.1	0.06
chr11_73884271	0.38	0.39	0.4	0.46	0.395	0.43	0.38	0.27	0.56
chr11_73884285	0.71	0.59	0.4	0.67	0.36	0.41	0.46	0.68	0.61
chr11_73884290	0.53	0.53	0.37	0.57	0.37	0.53	0.39	0.5	0.46
chr11_73884310	0.071	0.143	0.143	0.186	0.188	0.097	0.133	0.333	0.143
chr11_73884338	0.9	0.69	0.69	0.85	0.81	0.87	0.91	0.72	0.9
chr11_73884339	0.18	0.21	0.15	0.14	0.18	0.08	0.24	0.33	0.11
chr11_73884341	0.082	0.089	0.108	0.188	0.108	0.129	0.081	0.312	0.108
chr11_73884359	0.31	0.18	0.2	0.24	0.27	0.41	0.08	0.18	0.16
chr11_73884367	0.21	0.19	0.22	0.21	0.13	0.24	0.14	0.21	0.22
chr11_73884392	0.5	0.25	0.579	0.406	0.719	0.571	0.677	0.533	0.679
chr11_73884427	0.3	0.25	0.62	0.22	0.12	0.28	0.2	0.29	0.36
chr11_73884450	0.185	0.263	0.238	0.44	0.238	0.2	0.172	0.273	0.238
chr11_73884452	0.4	0.32	0.38	0.44	0.25	0.38	0.32	0.58	0.25
chr11_73885416	0.78	0.6	0.5	0.39	0.445	0.62	0.38	0.24	0.33
chr11_73923913	0.44	0.78	0.89	0.75	0.83	1	0.805	0.93	0.75
chr11_7412837	1	1	1	1	1	1	1	1	1
chr11_74233761	0.25	0.294	0.6	0.429	0.294	0.2	0.412	0.238	0.294
chr11_7423587	1	1	1	1	1	1	1	1	1
chr11_7434022	0.46	0.44	0.81	0.92	0.5	0.56	0.64	0.56	0.56
chr11_7434028	0.47	0.47	0.81	0.88	0.45	0.47	0.57	0.47	0.46
chr11_7434152	0.42	0.4	0.54	0.81	0.32	0.49	0.58	0.86	0.44
chr11_7434158	0.524	0.5	0.55	0.375	0.583	0.5	0.357	0.5	0.477
chr11_7434159	0.579	0.474	0.722	0.5	0.619	0.579	0.714	0.579	0.486
chr11_7434189	0.53	0.38	0.82	0.78	0.59	1	1	0.82	0.74
chr11_7434198	0.55	0.25	0.6	0.565	0.57	0.6	0.71	0.36	0.56
chr11_7434206	0.348	0.2	0.857	0.393	0.217	0.348	0.348	0.3	0.481
chr11_7434222	0.15	0.14	0.45	0.4	0.52	0.27	0.27	0.27	0.12
chr11_7435346	0.273	0.238	0.3	0.35	0.3	0.273	0.167	0.273	0.15
chr11_74597974	0.7	0.667	0.545	0.688	0.733	0.688	0.882	0.688	0.688
chr11_74763916	0.135	0.188	0.2	0.273	0.15	0.188	0.188	0.13	0.257
chr11_74763940	0.31	0.11	0.24	0.08	0.2	0.37	0.3	0.23	0.22
chr11_74763988	0.13	0.09	0.13	0.14	0.08	0.16	0.08	0.13	0.25
chr11_74763989	0.56	0.23	0.42	0.49	0.32	0.47	0.48	0.22	0.46
chr11_74764432	0.27	0.13	0.53	0.26	0.15	0.19	0.33	0.31	0.21
chr11_74770044	0.227	0.227	0.211	0.158	0.227	0.421	0.233	0.3	0.111
chr11_74770054	0.25	0.25	0.3	0.5	0.136	0.25	0.129	0.455	0.25
chr11_74818592	0.417	0.5	0.571	0.323	0.474	0.261	0.552	0.432	0.679
chr11_74818607	0.2305	0.382	0.25	0.194	0.211	0.174	0.192	0.297	0.379
chr11_74818612	0.171	0.171	0.375	0.133	0.171	0.174	0.269	0.167	0.167
chr11_74818613	0.383	0.583	0.412	0.323	0.381	0.304	0.231	0.5	0.385
chr11_74818669	0.429	0.414	0.45	0.457	0.393	0.368	0.517	0.429	0.444
chr11_74818673	0.417	0.4	0.333	0.324	0.24	0.278	0.407	0.486	0.36
chr11_74840780	0.24	0.2	0.13	0.17	0.31	0.28	0.19	0.35	0.2
chr11_74866654	0.13	0.17	0.15	0.15	0.3	0.26	0.14	0.33	0.19
chr11_74976394	1	1	1	1	1	1	1	1	1
chr11_75405688	0.2	0.25	0.19	0.27	0.225	0.27	0.19	0.47	0.12
chr11_75405690	0.64	0.57	0.56	0.59	0.3	0.58	0.5	0.73	0.33
chr11_757568	0.57	0.31	0.38	0.3	0.31	0.31	0.42	0.19	0.31
chr11_75939769	1	1	1	1	1	1	1	1	1
chr11_75998756	1	1	1	1	1	1	1	1	1
chr11_76007214	0.53	0.53	0.53	0.42	0.83	0.62	0.88	0.38	1
chr11_76021798	0.35	0.68	0.5	0.33	0.43	0.43	0.31	0.5	0.43
chr11_76021844	0.61	0.52	0.73	0.75	0.77	0.27	0.4	0.92	0.67
chr11_76036441	0.53	0.34	0.39	0.22	0.38	0.38	0.46	0.19	0.33
chr11_76036512	0.12	0.25	0.16	0.16	0.1	0.29	0.27	0.12	0.26
chr11_760888	0.727	0.722	0.7	0.583	0.7	0.909	0.7	0.636	0.333
chr11_76127823	0.39	0.19	0.75	0.46	0.39	0.64	0.31	0.29	0.27
chr11_76127836	0.192	0.111	0.417	0.15	0.167	0.3	0.333	0.35	0.246
chr11_76127837	0.269	0.16	0.455	0.2	0.235	0.235	0.357	0.158	0.235
chr11_76127906	0.15	0.19	0.21	0.23	0.26	0.12	0.25	0.12	0.14
chr11_76127907	0.12	0.18	0.3	0.2	0.18	0.22	0.29	0.1	0.17
chr11_76136570	0.67	0.96	0.92	0.88	0.87	1	1	0.72	0.78
chr11_76137643	0.73	0.93	0.67	0.54	0.89	0.57	0.7	0.4	0.69
chr11_76137670	0.24	0.41	0.305	0.14	0.55	0.43	0.3	0.12	0.31
chr11_76137671	0.44	0.77	0.64	0.35	0.65	0.77	0.5	0.21	0.79
chr11_76137679	0.43	0.95	0.42	0.52	0.8	0.64	0.53	0.27	0.64
chr11_76137713	0.22	0.35	0.65	0.34	0.52	0.44	0.19	0.23	0.5
